# particle_number, x, y, function_value
7,  6.85690974, -4.48362624, -13.747832025193626
8,  7.50536761, -4.55536644, -16.9712764699165
9, 7.78132822, 5.36214543, -41.234530554933706
10, -7.17479915, -5.11932162, -52.90182364526218
11, -1.07164311,  8.10591313, -57.35640459236771
12, 2.31338951, 5.02895656, -24.941569765437382
13, -6.90977821,  4.31001702, -64.47305720707128
14, -2.91065374,  7.50629257, -59.79569545225089
15, -8.81963313, -6.38350311, -75.03688570293068
16, -3.678161  , -3.17868087, -20.82128759630682
17,  6.45936796, -8.13853928, -28.21692204169497
18,  8.07767773, -0.86516378, -17.009625981557353
19, 0.40506899, 2.25988363, -11.765622398306034
20, -4.0999671 ,  3.64858832, -38.09213760701235
21,  2.07014298, -0.4449069 , -2.0699750343194196
22, -5.56244349,  9.96190737, -103.77285927058517
23, -1.28026338,  4.10887989, -26.117452924440883
24, -0.78860422, -1.39800264, -6.452398077178538
25,  5.67133304, -8.44718925, -27.380458691178198
26, 1.45638518, 6.55074135, -37.171019158628724
27, -2.56519243, -3.47423992, -14.986141369023798
28, -2.01828345,  4.93234456, -34.466847282883116
29,  1.57154718, -9.50573305, -30.27353845619461
30, 4.88810556, 5.81004507, -33.492860085993414
31, 1.81067358, 2.82715208, -12.32950739223477
32, -5.69480757, -6.45295856, -44.86108989206159
33, -9.49412434,  8.10420532, -122.89051000866368
34, -5.73291713,  1.14673875, -39.45070923823023
35, -2.126921  ,  3.62061256, -26.86171901042811
36, -5.17336288,  8.59202536, -85.40048562438137
37, -2.33780222, -6.54589865, -23.413290815240686
38,  6.74153843, -6.6689378 , -21.285646534639113
39,  4.30967323, -5.43936823, -8.819960869064063
40,  1.32975942, -7.98074872, -20.091422537102243
41, -5.6267453 , -1.59092217, -33.988697685039284
42, -2.05265196, -3.86290817, -13.208762736010529
43,  6.40413009, -6.60107969, -19.59012953429712
44, 7.6153589 , 3.29231096, -27.482433425385757
45,  6.03379257, -3.40015015, -8.288008744881248
