swarm_number,particle_number,x,y,function_value
2,8, 2.41391526,-1.84268852,-0.9242861276150076
2,9, 2.43958964,-1.84115676,-0.9224945025179879
3,0, 2.47539988,-1.87776641,-0.9194882822371374
3,1, 2.47967348,-1.9612049 ,-0.9210181365234131
3,2, 2.48744881,-1.86794981,-0.9195309066570245
3,3, 2.53341164,-1.82165035,-0.922566036034674
3,4, 2.49684737,-1.92953095,-0.9193795411318967
3,5, 2.53923938,-1.90369823,-0.9197152361499532
3,6, 2.48000994,-1.92957166,-0.9195755759049715
3,7, 2.48375567,-1.81810305,-0.9224240277554198
3,8, 2.46580493,-1.91800548,-0.9196852833014786
3,9, 2.48682436,-1.92972444,-0.9194671030231271
4,0, 2.52579431,-1.87085044,-0.9196960548537859
4,1, 2.53572201,-1.84576512,-0.9210472754687373
4,2, 2.51509018,-1.85053736,-0.920275666572351
4,3, 2.56287719,-1.8743366 ,-0.9212446086137418
4,4, 2.51351386,-1.88021381,-0.9192255920496505
4,5, 2.52552448,-1.83618019,-0.9213007668258347
4,6, 2.523368  ,-1.86687265,-0.9197602755772682
4,7, 2.51951612,-1.87290817,-0.9194959563924584
4,8, 2.53180443,-1.86089971,-0.9202087102656863
4,9, 2.54992245,-1.90018297,-0.9201846753575135
0,0, 2.46038137,-1.89646293,-0.9197296067339932
0,1, 2.46044134,-1.89639022,-0.9197274922604443
0,2, 2.46050417,-1.89640044,-0.9197249719135628
0,3, 2.46042117,-1.89634427,-0.9197284573323505
0,4, 2.4604713 ,-1.89653201,-0.9197258056375035
0,5, 2.46038695,-1.89643254,-0.919729493420293
0,6, 2.46048146,-1.89646882,-0.9197256253053514
0,7, 2.46038845,-1.89633796,-0.9197297759096938
0,8, 2.46041296,-1.89634955,-0.9197287627913378
0,9, 2.46055365,-1.89628258,-0.9197234499320579
1,0, 2.5082421 ,-1.89671506,-0.9189778947280461
1,1, 2.50589214,-1.89330507,-0.9189783029253203
1,2, 2.50919674,-1.89467898,-0.9189949797963367
1,3, 2.50550079,-1.89556036,-0.9189635177562029
1,4, 2.50288891,-1.89487754,-0.918955825911291
1,5, 2.50925814,-1.89440319,-0.9189970519117057
1,6, 2.50826846,-1.89303253,-0.9189969897052772
1,7, 2.50814985,-1.89347208,-0.9189930501244312
1,8, 2.5061132 ,-1.89726659,-0.9189609546110967
1,9, 2.50925835,-1.89420954,-0.9189981564797916
2,0, 2.5035803 ,-1.89609135,-0.9189525812437424
2,1, 2.50367052,-1.89566792,-0.918954653007589
2,2, 2.50370975,-1.89589971,-0.918953820524258
2,3, 2.50393964,-1.89659483,-0.918952091170283
2,4, 2.50396278,-1.89623214,-0.9189534833948302
2,5, 2.50159781,-1.89583514,-0.9189484827349729
2,6, 2.5033221 ,-1.89569559,-0.918953315357966
2,7, 2.50421804,-1.89657113,-0.918953307723556
2,8, 2.50389186,-1.89601204,-0.9189540584059326
2,9, 2.50393015,-1.89656034,-0.9189521718877055
3,0, 2.50158905,-1.90328289,-0.9189451844458005
3,1, 2.50116054,-1.90232433,-0.9189419078949858
3,2, 2.50116524,-1.90244031,-0.918942189647537
3,3, 2.50147297,-1.90326327,-0.9189449424813237
3,4, 2.50102804,-1.90317332,-0.9189440966277428
3,5, 2.50107557,-1.9033683 ,-0.918944784342624
3,6, 2.50083008,-1.90293499,-0.9189431848015216
3,7, 2.50154176,-1.90276136,-0.9189435342732517
3,8, 2.5006789 ,-1.90265421,-0.9189422860702298
3,9, 2.50040875,-1.90259112,-0.9189419736968814
4,0, 2.51066684,-1.87470261,-0.9193154028001177
4,1, 2.5193678 ,-1.87807785,-0.9193663793071188
4,2, 2.52290002,-1.87547093,-0.9195015762599887
4,3, 2.52241443,-1.87457313,-0.9195129995662411
4,4, 2.51837805,-1.87770344,-0.9193559778365807
4,5, 2.52226151,-1.87485567,-0.9195024393187876
4,6, 2.52171792,-1.88466256,-0.9192919858179
4,7, 2.52083946,-1.87508069,-0.9194661608565451
4,8, 2.52208719,-1.87524657,-0.9194888212706483
4,9, 2.52352087,-1.87701524,-0.9194792985633096
0,0, 2.46074132,-1.89632822,-0.9197158962375612
0,1, 2.46074308,-1.89632265,-0.9197158474475722
0,2, 2.46074416,-1.89632292,-0.9197158041368436
0,3, 2.46074242,-1.89631443,-0.9197159037483336
0,4, 2.46074439,-1.89632043,-0.9197158044250259
0,5, 2.46074032,-1.89631282,-0.9197159921817374
0,6, 2.46074404,-1.89632215,-0.9197158118104566
0,7, 2.46074133,-1.89631558,-0.9197159424358965
0,8, 2.46074188,-1.89631588,-0.9197159195347613
0,9, 2.46074495,-1.89631282,-0.9197158105222315
1,0, 2.50842758,-1.89588329,-0.9189825189313088
1,1, 2.50659889,-1.89337095,-0.918982278073507
1,2, 2.5091146 ,-1.89431424,-0.9189962351141899
1,3, 2.50637877,-1.89506857,-0.9189710370735926
1,4, 2.50452411,-1.89455018,-0.9189636172928938
1,5, 2.50910163,-1.89404084,-0.9189977088957273
1,6, 2.50845496,-1.89320298,-0.9189973761407758
1,7, 2.50830263,-1.8935153 ,-0.9189940256483983
1,8, 2.50687269,-1.89629605,-0.9189690097828611
1,9, 2.50898041,-1.89376075,-0.9189983211416621
2,0, 2.50359539,-1.89598049,-0.918953074831498
2,1, 2.50384828,-1.89607227,-0.91895365134828
2,2, 2.50385268,-1.89606961,-0.9189536787408029
2,3, 2.50398272,-1.89648876,-0.9189526286340852
2,4, 2.50398759,-1.89624381,-0.9189535381461608
2,5, 2.50248225,-1.89593612,-0.9189498715570509
2,6, 2.50369879,-1.89596781,-0.9189535030249166
2,7, 2.50394043,-1.89619161,-0.9189535486212186
2,8, 2.50385132,-1.89607448,-0.9189536543947623
2,9, 2.50394089,-1.89635691,-0.9189529345658539
3,0, 2.50159619,-1.90330328,-0.9189452629498938
3,1, 2.50112534,-1.90195778,-0.9189410828479423
3,2, 2.5009417 ,-1.90181252,-0.9189406192209233
3,3, 2.50145434,-1.90326884,-0.918944933401058
3,4, 2.50092644,-1.90303073,-0.9189435550057068
3,5, 2.50112573,-1.90338197,-0.9189448857192848
3,6, 2.50060572,-1.90272454,-0.9189424282026762
3,7, 2.5015544,-1.9021909,-0.9189421413087256
3,8, 2.50041881,-1.90236748,-0.9189414233882784
3,9, 2.50011893,-1.90231031,-0.9189412090496908
4,0, 2.5123014 ,-1.87467633,-0.91933483962874
4,1, 2.51985677,-1.87755132,-0.9193876503679326
4,2, 2.52287701,-1.87538164,-0.9195032436451975
4,3, 2.5223736 ,-1.87453374,-0.9195130875864539
4,4, 2.51893574,-1.87731284,-0.9193751680473754
4,5, 2.52231528,-1.87488953,-0.9195027869316922
4,6, 2.52185114,-1.88328488,-0.9193169670812177
4,7, 2.52108401,-1.87500843,-0.9194730900953111
4,8, 2.52217131,-1.87517188,-0.9194925344098515
4,9, 2.52341232,-1.87669325,-0.9194842036584231
0,0, 2.46074512,-1.89632343,-0.9197157646281844
0,1, 2.46074511,-1.89632345,-0.9197157648435463
0,2, 2.46074511,-1.89632345,-0.9197157650157103
0,3, 2.46074511,-1.89632347,-0.9197157646693808
0,4, 2.46074511,-1.89632345,-0.9197157650231131
0,5, 2.46074512,-1.89632347,-0.9197157643488296
0,6, 2.46074511,-1.89632345,-0.9197157649883433
0,7, 2.46074512,-1.89632346,-0.9197157645147623
0,8, 2.46074512,-1.89632346,-0.9197157646032491
0,9, 2.4607451 ,-1.89632347,-0.9197157650464999
1,0, 2.50834378,-1.89625818,-0.9189803431469927
1,1, 2.50620358,-1.89332585,-0.9189800475202029
1,2, 2.50914806,-1.89442664,-0.9189959078696481
1,3, 2.5059453 ,-1.89530726,-0.9189672173955769
1,4, 2.50377408,-1.89470206,-0.9189596891205069
1,5, 2.50913298,-1.89410772,-0.9189975983517674
1,6, 2.50837591,-1.89312982,-0.9189972107661264
1,7, 2.50819766,-1.89349418,-0.9189932968789106
1,8, 2.50652349,-1.89673989,-0.9189651253400913
1,9, 2.5089915 ,-1.89378184,-0.9189982895042105
2,0, 2.50343777,-1.8959241 ,-0.918952748833677
2,1, 2.5038412 ,-1.89607268,-0.9189536225276865
2,2, 2.50384593,-1.8960662 ,-0.9189536662128083
