# particle_number, x, y, function_value
59, -3.55636914,  3.79294371, -35.46354614904229
60, -1.21673437,  9.44772644, -72.2114434044787
61, 5.03796232, 6.75968746, -41.63465834915879
62,  1.72892128, -7.33117367, -15.965043432976092
63, -3.26988126,  4.26463685, -36.56607717904146
64,  1.38696241, -8.89827942, -26.02632225667503
65, 1.55430048, 4.71850614, -23.268424057509087
66, -8.96558   , -9.45049043, -95.15365378666364
67, -0.82464597,  5.24781522, -31.991205140973598
68, -1.89090502,  7.18046144, -51.78635194378955
69, -1.4400309 ,  3.06892147, -21.02595055449367
70, 9.43243929, 3.47549339, -39.396260384388746
71, -1.5419321 , -1.74441602, -9.099649259859502
72,  6.21249499, -1.93178332, -7.810753166098543
73, -6.25773536,  5.55762282, -67.07597185720859
74, 3.5490258, 4.3510595, -21.007038523429067
75,  4.25186088, -3.87594051, -4.4056172623987155
76, 0.01107057, 0.62965878, -7.215910142373472
77,  7.87426535, -4.94532924, -19.997317685222708
78, -9.98997225,  5.75321235, -108.20447156004758
79, -3.84013964,  5.38343981, -47.5418715779699
80,  5.08822839, -0.52225523, -5.217491942332462
81, 9.57840296, 3.66801658, -41.47223711114916
82, -0.26372421, -1.5170711 , -4.811341566444701
83, -8.07009656, -5.79203739, -64.35638667509072
84, -2.85907682,  3.31886799, -28.897082289517172
85, -1.84689712,  6.78600476, -48.090035208250995
86, 2.24174358, 0.8884155 , -4.839917235089544
87, -1.84288083, -1.93311589, -10.349793820362013
88, -9.61955519, -3.5193431 , -75.67188354336098
89, -1.75699531,  0.19566983, -12.175859099999501
90, -6.45869887, -8.07217767, -60.095969814942926
91, -7.07674116, -4.59406907, -50.40492825493554
92, -0.41426896, -7.05275377, -18.440856002720828
93, -9.3589633 , -6.48080999, -81.72835385744457
94, 0.57794628, 7.95158715, -51.29296849855227
95, 6.99175238, 9.37469673, -74.56625146943858
96,  9.00246113, -6.94595749, -34.79078238306156
97,  1.98200985, -9.92460349, -33.250226027208434
98,  9.1135793 , -6.16826045, -31.897677710104425
99, -4.86535689,  8.59600729, -83.12626405869088
0, 5.66382584, 0.77075203, -9.490293711807112
1, -0.52719218, -1.25115456, -5.711384981077693
2,  1.38259822, -3.60474352, -2.9963071353653494
3, -0.57938509,  6.08439347, -37.535514323280516
4,  5.22492213, -3.12603497, -5.383119720231866
5, -8.63555471, -3.26525069, -63.851182600089665
6, 5.70889559, 6.39215486, -40.447360104232864
7, -3.94782465,  9.78210235, -89.94191756149903
8, -8.92642544, -1.52248069, -66.2717981124495
9, -6.07689098, -9.75767243, -68.57197595683306
10, 0.80151815, 9.51224773, -67.48105791552649
11, 9.17899623, 2.25472065, -31.854285667149178
12, -1.26282319, -4.65893114, -11.80420823296499
13, -3.68621002,  5.99605748, -51.227397590131524
14, 4.80537012, 0.28397581, -5.961179407542634
15, 1.53865428, 6.45573126, -36.29015380913557
16, -6.94699718,  3.96112443, -62.71820617054464
17, -5.85087541, -0.64813369, -36.571083212075926
18, -1.78084439, -7.30424259, -24.68467185970242
19, -1.12153709, -5.35664759, -13.450910269770553
20, -8.10206034,  4.24242362, -75.98546427842798
21, -4.03891218, -7.63524014, -38.74411455064227
22, -5.47104976,  8.40604777, -85.79506600163425
23, -4.97701836, -1.60999801, -28.913890900957888
24, -3.78937427,  3.13146625, -33.35487924561018
25,  7.47797899, -7.23997353, -27.566734593134896
26, -7.9781511 , -8.67619191, -78.77315215387053
27, 4.88205884, 3.04234048, -15.969405405761645
28,  5.41918062, -1.33010568, -5.3421360412431085
29,  1.40336026, -5.77811802, -9.040147563493546
30, -3.90402868, -6.4070164 , -31.581328600672737
31, 2.38032318, 4.36062595, -20.52381842636977
32, 2.44861037, 5.09931469, -25.415462040021158
33,  2.85615251, -5.58303613, -7.764738407579545
34, 4.36143979, 4.21986551, -21.377794490625103
35, -3.49905367,  1.66540933, -25.269332817458004
36, -7.27372376, -4.53687718, -52.15833717624391
37, -4.80236763, -5.24275374, -33.16822634136961
38, 3.68302983, 8.03347508, -50.95568188137527
39, -6.29715784,  5.47269065, -66.79221520739522
40, 3.98820362, 7.96505504, -50.68596897368968
41,  7.01587311, -9.39084379, -39.1718638377333
42, -1.36054765, -0.90588498, -8.86498496131156
43, -1.17178045,  8.87475874, -65.70763735511017
44, -9.33193685,  2.805572  , -81.98750729244746
45,  1.19087878, -5.82790623, -9.490061406077643
46, 8.88015145, 5.90739156, -51.74978625148662
47,  4.40171347, -0.94977179, -3.1786624203249425
48, 4.1134866 , 4.84166207, -24.94561174515727
49, 1.05169325, 1.89367446, -9.163717705915317
50, -5.08103774, -3.65358894, -31.192542259663412
51,  7.09674244, -3.36356633, -12.554972291370621
52, -5.09544471,  8.29227308, -81.70554401405191
53,  3.31490594, -6.27731206, -10.831404816250668
54,  4.60985264, -4.85999085, -7.5254505380913965
55,  1.16680389, -1.06856569, -2.1532859722735167
56, -3.59771216,  5.09927982, -44.004944348012344
57, -3.55897258, -8.65590947, -42.09566926890234
58,  2.14608641, -8.35120902, -21.79061482780863
59, -2.72836204,  2.20700897, -23.02058469759467
60, -6.39988218e-03,  7.48138981e+00, -48.06519613802737
61, 3.59319756, 7.04250057, -41.5006371898951
62,  1.28246648, -7.48486949, -17.25551610137193
63, -2.69898487,  4.72821547, -36.40028050674632
64,  0.7320339 , -9.22132417, -29.28268440045006
65, 2.24811778, 3.98426733, -18.262961878722194
66, -9.07514843, -9.29946761, -95.28702959096121
67, 0.495287  , 5.65318606, -31.453685434121507
68, -1.33320309,  6.7329047 , -45.52918329646622
69, -2.1649265 ,  2.94694064, -23.546124927050755
70, 8.48056563, 4.18464109, -37.313949744639864
71, -2.31418305, -2.14508962, -12.537152224222433
72,  6.81511291, -0.900087  , -10.728951246715626
73, -6.54746213,  5.5404239 , -69.52717793139352
74, 2.55613684, 4.8636785 , -23.794187640476558
75,  3.05014584, -3.18731628, -1.8988603558432393
76,  1.18374626, -0.59225466, -2.6402994235340054
77,  8.28878312, -3.78991609, -19.45983496560647
78, -9.77753408,  4.37919878, -96.00202874270384
79, -4.10229479,  3.91704225, -39.63307704521899
80,  5.69685313, -1.77932226, -6.036155071005728
81, 7.96405748, 2.23504184, -24.396186123729464
82, -1.15600766, -1.70822926, -7.620522538258811
83, -7.93963611, -6.22278834, -64.75518912793488
84, -2.56839276,  1.8158714 , -20.66709125132037
85, -1.64756467,  5.56027872, -37.347964137945894
86, 2.99707966, 0.65810575, -4.3144351406172925
