swarm_number,particle_number,x,y,function_value
0,67, 2.61665216,-2.27730938,-41.172555982212664
0,68, 2.84664759,-2.91769623,-22.217784945663574
0,69,-1.58865323,-0.31844448,-35.28270063786769
0,70,-3.7037582 , 3.99338523,-42.53833789478077
0,71,-5.33525368, 1.45384398,-65.26514085903887
0,72,3.83106398,3.79065794,-41.64320917918396
0,73,-5.76346003,-2.36157604,-64.40002864575294
0,74,-1.49212451, 2.75529362,-39.47329117993729
0,75,-0.50705766,-2.82976659,-33.45017562275607
0,76,-4.45928472,-3.30504859,-63.8733750658458
0,77,-2.60365033,-4.37258106,-60.814485861655335
0,78,-4.85587409,-2.90091276,-37.69868803438193
0,79, 0.9471518 ,-4.58510631,-41.07057020272973
0,80,-0.50021281,-1.24692975,-31.612140329113252
0,81,-5.3214319, 3.1423381,-56.27058986309074
0,82,0.17143912,0.09726625,-7.1108156378962875
0,83,-0.33295959, 1.13983106,-20.00731138712748
0,84,-0.50606714,-3.27079869,-42.250066843449865
0,85, 5.06809039,-1.85390734,-33.949128407015166
0,86, 0.07728687,-0.47868178,-21.301620814868457
0,87,-1.07572771,-1.3469208 ,-19.802411513097095
0,88, 1.45669465,-0.03634341,-22.014971576396405
0,89,-1.23213941,-0.93332955,-12.134053527706822
0,90,2.45855149,5.27341371,-64.98199084002627
0,91, 0.11141054,-3.94865997,-18.471779970943494
0,92,3.02815749,0.87981903,-12.818014825961917
0,93,-4.03615783,-0.92857568,-18.39997816047873
0,94,-3.03234036,-4.89931648,-35.33928084152538
0,95,-3.25145784, 4.28110239,-50.93321960865165
0,96,0.26567419,3.15429594,-25.34604625915122
0,97,2.66812464,3.08763326,-33.05080136851433
0,98,-0.77479068,-2.49928075,-35.2952497230511
0,99,-1.19619908, 1.64482244,-26.957817504441643
0,0,-3.83191975,-2.31224696,-38.91935061252195
0,1,-1.38211547, 4.66592648,-56.101364263786344
0,2,4.56958828,5.04920047,-65.90884833927313
0,3,-4.09880316, 0.51055484,-38.90472911574477
0,4,4.5584313 ,0.30098695,-53.35257273948514
0,5,-2.96263009,-0.04141493,-9.38994833546065
0,6, 5.06229304,-2.09816205,-32.62782375456558
0,7,3.14689706,2.93791823,-23.251050990023202
0,8,-0.96076368,-2.69887972,-21.666402498899053
0,9,-0.28965634,-2.14574662,-21.062172371398532
0,10, 3.92607016,-2.24671792,-31.315173583913214
0,11,-5.17296562,-3.31491331,-57.06128068120567
0,12,-3.6428919 ,-5.56975067,-79.58090402340969
0,13,-3.56089968, 5.28588637,-72.13315774377946
0,14,-2.68410801,-0.91324081,-23.510666836283246
0,15,-1.1597013,-4.503956 ,-46.25333328701148
0,16,-4.40668522,-2.01551684,-41.85852930406148
0,17,6.03525062,2.58980366,-61.82549543811669
0,18,-0.32739217,-4.38420844,-51.469905992519415
0,19,-3.73736684,-3.79312192,-46.47221481957684
0,20,1.05901346,3.94405486,-17.968147599600883
0,21,-4.83650356,-3.8359371 ,-47.79367295112357
0,22,-1.39154026,-1.21108163,-28.74854579157617
0,23, 5.51565348,-0.69986326,-63.9622532500949
0,24,-3.16180844, 2.42051772,-39.3726451231959
0,25, 1.33901305,-3.01961246,-26.292652808587423
0,26,4.38672246,3.14567455,-50.6153168255813
0,27,2.47738913,4.55050493,-66.24451826504313
0,28, 4.79364125,-2.5320318 ,-56.48050513309367
0,29, 4.88834363,-3.62495968,-56.47071737685127
0,30,3.06996361,4.6850901 ,-46.2917847228023
0,31,-0.82231562, 2.27405948,-22.96451479067524
0,32,-1.0632467 , 2.92468132,-11.562557915502028
0,33,1.30667009,0.10175333,-17.178735776093813
0,34,-5.28781967,-3.67485883,-68.3674104337905
0,35,-1.78208262,-2.52540617,-37.424167432624884
0,36, 3.03689802,-3.36568966,-37.46371766217083
0,37,-2.96056429, 0.25532701,-19.470188317063375
0,38,-0.73489743,-1.41408983,-32.065391773920375
0,39,-4.86276851,-0.42086353,-46.105420048184016
0,40,3.16053488,3.87081559,-32.75959507335941
0,41,0.23851986,1.24745138,-20.73220586113031
0,42,-2.05076459, 0.07202807,-5.7219318606125835
0,43,-3.73914453, 2.40581546,-48.75018679595587
0,44,-5.8183907 , 0.53107307,-59.77963961018521
